MSVAR;LSTVAR
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;0
1;0
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;6.99E-12
1;0
1;0
1;0
1;0
1;3.10E-05
1;0
1;0
1;0
1;0
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
0.999999986;1
1;1
1;1
1;1
0.999999999;1
1;1
0.999999946;1
1;1
0.999999999;1
0.999999996;1
0.999999999;1
0.999999729;1
0.999999969;1
0.999703063;1
0.999999975;1
0.998288534;1
0.998772186;1
0.958240102;1
0.981208308;1
0.816700663;1
0.4361524;1
0.395884007;1
0.113204776;1
0.007425223;1
0.003456314;1
0.005721375;1
0.000101391;1
0.023394201;1
0.029090032;1
0.00297547;1
0.030978356;1
0.000573213;1
0.003285635;1
0.003040628;1
0.002095697;1
0.00354215;1
0.001377611;1
0.01341686;1
0.012699159;1
0.00157895;1
0.001200161;1
0.004046293;1
7.14E-05;1
0.000547727;1
0.004272754;1
0.00251521;1
0.004151773;1
8.53E-05;1
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;0
1;0
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
0.999999998;1
1;1
0.999999975;1
1;1
1;0
1;0
1;0
1;0
1;1
1;1
1;1
1;1
1;1
1;0
1;1
1;1
1;1
1;1
1;1
1;1
1;1
0.999999998;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;1
1;0.999998386
1;1
1;1
1;1
1;1
1;1
