DATE;IP;INFL;MRR_SHADOW;VSTOXX
01.01.1999;4.549023025;0.731413257;3;37.614
01.02.1999;4.535498513;0.731215174;3;30.7952
01.03.1999;4.537426534;0.906207595;3;25.2455
01.04.1999;4.544570564;1.079050125;2.5;23.737
01.05.1999;4.543188394;0.903275437;2.5;24.9911
01.06.1999;4.551769409;0.875721326;2.5;23.3367
01.07.1999;4.558812062;0.995702521;2.5;26.896
01.08.1999;4.558707312;1.088354713;2.5;24.9551
01.09.1999;4.565493369;1.194885667;2.5;27.8471
01.10.1999;4.575844357;1.260746313;2.5;21.9392
01.11.1999;4.579544638;1.433860412;3;23.4039
01.12.1999;4.575741375;1.712874743;3;31.1018
01.01.2000;4.573369873;1.84521882;3;31.9687
01.02.2000;4.585783472;1.95062965;3.25;28.7829
01.03.2000;4.589244035;1.999533426;3.5;27.237
01.04.2000;4.598950886;1.610255034;3.75;28.133
01.05.2000;4.61244367;1.808800478;3.75;25.2594
01.06.2000;4.598044861;2.123503813;4.25;22.4188
01.07.2000;4.610157727;2.067120112;4.25;22.2473
01.08.2000;4.61244367;2.050200771;4.5;19.6192
01.09.2000;4.61194717;2.412932676;4.5;23.3527
01.10.2000;4.61254294;2.357698936;4.75;25.3007
01.11.2000;4.622518824;2.470559294;4.75;28.3822
01.12.2000;4.628789052;2.204524391;4.75;26.2264
01.01.2001;4.619368905;2.032723586;4.75;22.2534
01.02.2001;4.623402954;2.172575964;4.75;23.3123
01.03.2001;4.617493936;2.141353527;4.75;29.8427
01.04.2001;4.608863358;2.515937959;4.75;21.2096
01.05.2001;4.613336749;2.82001664;4.5;21.3324
01.06.2001;4.611748501;2.630878102;4.5;20.3374
01.07.2001;4.594513606;2.550795384;4.5;22.3067
01.08.2001;4.617790217;2.431573498;4.25;27.4855
01.09.2001;4.60386934;2.165033019;3.75;40.8917
01.10.2001;4.591375475;2.099645626;3.75;40.7531
01.11.2001;4.584252938;1.813671169;3.25;28.7656
01.12.2001;4.589244035;1.940810228;3.25;26.7083
01.01.2002;4.590462557;2.588560729;3.25;25.3756
01.02.2002;4.592490133;2.43009784;3.25;25.2315
01.03.2002;4.59854831;2.437433243;3.25;19.523
01.04.2002;4.600057137;2.391363;3.25;24.8543
01.05.2002;4.601764393;2.016939051;3.25;25.8038
01.06.2002;4.604870141;1.862817599;3.25;36.1088
01.07.2002;4.599956619;1.987281399;3.25;48.7118
01.08.2002;4.604069581;2.111463486;3.25;46.8196
01.09.2002;4.605270181;2.10666889;3.25;61.3351
01.10.2002;4.599453879;2.243603059;3.25;45.0719
01.11.2002;4.604570006;2.243603059;3.25;35.8342
01.12.2002;4.591274081;2.252942814;2.75;51.2125
01.01.2003;4.606069781;2.127739845;2.75;44.3548
01.02.2003;4.607467545;2.323071872;2.75;44.4992
01.03.2003;4.600358629;2.379433341;2.5;48.2735
01.04.2003;4.603468739;1.954135242;2.5;31.7994
01.05.2003;4.587617027;1.816874269;2.5;28.5449
01.06.2003;4.587209861;1.95194859;2;27.5266
01.07.2003;4.603568905;1.948556842;2;24.5429
01.08.2003;4.592895155;2.006507743;2;24.6592
01.09.2003;4.590259573;2.038743623;2;33.4991
01.10.2003;4.613237557;1.962420274;2;22.5193
01.11.2003;4.609261804;2.084565153;2;22.0766
01.12.2003;4.613733417;1.959517994;2;21.1639
01.01.2004;4.611748501;1.82838396;2;21.0705
01.02.2004;4.618678536;1.652930195;2;18.0624
01.03.2004;4.615912283;1.660397076;2;22.6705
01.04.2004;4.62192897;2.061677171;2;22.734
01.05.2004;4.624776716;2.38831871;2;21.2312
01.06.2004;4.624874769;2.336441157;2;18.4996
01.07.2004;4.63122772;2.308449003;2;18.2363
01.08.2004;4.615219522;2.303132104;2;18.7516
01.09.2004;4.627322991;2.093873775;2;16.5105
01.10.2004;4.630642982;2.319504809;2;17.3708
01.11.2004;4.620846665;2.185417493;2;16.557
01.12.2004;4.621830627;2.268437038;2;14.0727
01.01.2005;4.628593701;1.950694004;2;12.7246
01.02.2005;4.624090071;2.055237295;2;12.8907
01.03.2005;4.624482497;2.120474779;2;13.238
01.04.2005;4.637153232;2.079176344;2;16.792
01.05.2005;4.623599321;1.896413205;2;13.5138
01.06.2005;4.633271616;1.988752655;2;12.3777
01.07.2005;4.639668226;2.138864806;2;13.2763
01.08.2005;4.629082006;2.180956422;2;15.1539
01.09.2005;4.641791369;2.554236056;2;14.5562
01.10.2005;4.64352514;2.371932546;2;17.4308
01.11.2005;4.657857508;2.220476254;2;13.9602
01.12.2005;4.652435378;2.194778364;2.25;14.477
01.01.2006;4.65728814;2.415149491;2.25;15.8548
01.02.2006;4.658142071;2.351389783;2.25;15.0449
01.03.2006;4.66428779;2.157682206;2.5;14.0139
01.04.2006;4.666359354;2.314539323;2.5;14.7089
