DATE;IP;INFL;MRR_SHADOW;VSTOXX
01.05.2006;4.681575517;2.462345072;2.5;23.0529
01.06.2006;4.68083409;2.422949048;2.75;18.3282
01.07.2006;4.679813729;2.427388214;2.75;18.5171
01.08.2006;4.683334207;2.283495336;3;16.1689
01.09.2006;4.684350984;1.73615472;3;16.2455
01.10.2006;4.681760788;1.585039258;3.25;14.5146
01.11.2006;4.690797272;1.840223216;3.25;15.5561
01.12.2006;4.709169776;1.873103671;3.5;14.83
01.01.2007;4.699752828;1.856710202;3.5;15.9174
01.02.2007;4.704925019;1.830688396;3.5;19.4973
01.03.2007;4.71115051;1.884680009;3.75;17.5427
01.04.2007;4.699206828;1.934030644;3.75;18.3379
01.05.2007;4.718230978;1.872842225;3.75;15.7865
01.06.2007;4.717694977;1.881147645;4;16.8985
01.07.2007;4.718766693;1.807997398;4;23.8246
01.08.2007;4.725527683;1.738186335;4;24.4721
01.09.2007;4.72081761;2.100559777;4;19.7088
01.10.2007;4.727741738;2.471500926;4;19.9915
01.11.2007;4.722597603;2.982597952;4;20.4255
01.12.2007;4.725527683;3.001466425;4;18.0605
01.01.2008;4.736812295;3.193435293;4;30.0471
01.02.2008;4.735584225;3.177722044;4;28.6914
01.03.2008;4.72950946;3.435302837;4;27.3083
01.04.2008;4.743626929;3.212052649;4;20.8781
01.05.2008;4.713306845;3.59998879;4;19.6841
01.06.2008;4.71492105;3.909473;4;24.6668
01.07.2008;4.70691417;3.976667113;4.25;23.3294
01.08.2008;4.700571271;3.72521659;4.25;21.0605
01.09.2008;4.692264893;3.575750623;4.25;40.3874
01.10.2008;4.667393529;3.098202712;3.75;60.6773
01.11.2008;4.627127353;2.081916909;1.97;51.4443
01.12.2008;4.591983624;1.566150904;1.64;43.867
01.01.2009;4.549446037;1.177196058;0.8;44.7879
01.02.2009;4.527316747;1.208407542;0.42;42.8901
01.03.2009;4.515245478;0.614104353;0.14;42.4096
01.04.2009;4.50147495;0.536370395;0.27;36.8821
01.05.2009;4.524502283;0.03273501;0.27;33.0374
01.06.2009;4.530338875;-0.163052376;0.19;30.2413
01.07.2009;4.532814524;-0.630094426;-0.41;28.1252
01.08.2009;4.534425781;-0.184632146;-0.67;29.5215
01.09.2009;4.556714966;-0.336645809;-0.41;26.8181
01.10.2009;4.550819591;-0.162981511;-0.13;31.3257
01.11.2009;4.554192631;0.445967999;0.12;30.2813
01.12.2009;4.555664766;0.893349443;0.19;24.0577
01.01.2010;4.571820206;1.109430566;0.18;26.7238
01.02.2010;4.566845072;0.97794977;0.01;24.3654
01.03.2010;4.584048689;1.443559012;0.17;20.5988
01.04.2010;4.590056548;1.64577123;0.29;28.89
01.05.2010;4.608564419;1.633970238;-0.02;34.3976
01.06.2010;4.607467545;1.415092477;0.29;34.3161
01.07.2010;4.605770006;1.739362167;0.57;27.1611
01.08.2010;4.609062601;1.585366178;0.43;29.3735
01.09.2010;4.617098757;1.757552384;0.73;26.1124
01.10.2010;4.627322991;1.895791374;0.9;23.3884
01.11.2010;4.632104187;1.902771731;0.7;31.0728
01.12.2010;4.639185065;2.177847166;0.47;23.9165
01.01.2011;4.637734177;2.383482681;0.68;22.7339
01.02.2011;4.646599996;2.583130069;0.64;22.7141
01.03.2011;4.646408094;2.626832593;0.73;22.08
01.04.2011;4.64352514;2.596997929;0.87;18.4785
01.05.2011;4.648325456;2.616536113;1.02;20.353
01.06.2011;4.632785353;2.583521138;1.32;21.5622
01.07.2011;4.646408094;2.652731507;1.22;27.6238
01.08.2011;4.651958347;2.702296583;0.88;35.6495
01.09.2011;4.63618424;2.844992216;0.34;46.6796
01.10.2011;4.634146294;2.892046554;0.49;35.1198
01.11.2011;4.634437684;2.917310768;0.02;37.0829
01.12.2011;4.629179638;2.680508094;-0.75;32.1544
01.01.2012;4.623108331;2.626792682;-0.4;26.3081
01.02.2012;4.628496011;2.723377956;-0.56;23.9289
01.03.2012;4.627811916;2.631185558;-0.36;22.5463
01.04.2012;4.616999938;2.582254613;-0.53;26.9511
01.05.2012;4.624090071;2.407016677;-1.02;34.9478
01.06.2012;4.617592706;2.365446239;-0.82;24.9463
01.07.2012;4.620748216;2.350139084;-1.65;28.0088
01.08.2012;4.631325143;2.560156276;-1.87;25.7034
01.09.2012;4.611450424;2.574105105;-1.72;23.3836
01.10.2012;4.604870141;2.47760421;-1.58;22.2123
01.11.2012;4.598246271;2.189121789;-1.63;16.5548
01.12.2012;4.603368564;2.196992264;-1.82;21.3534
01.01.2013;4.598145571;1.99639957;-0.72;16.6395
01.02.2013;4.598749618;1.808808588;-0.68;21.0046
01.03.2013;4.609460967;1.642705769;-0.64;20.8944
01.04.2013;4.610555658;1.296745959;-0.73;20.261
01.05.2013;4.608763721;1.428957682;-0.23;19.6048
01.06.2013;4.614030814;1.600034135;0.6;21.8175
01.07.2013;4.60386934;1.546657063;-0.01;19.0644
01.08.2013;4.614724399;1.26092355;-0.12;23.4785
01.09.2013;4.615516478;1.047446378;-0.28;19.4503
01.10.2013;4.609361391;0.755556911;-0.26;15.888
01.11.2013;4.6238938;0.816248801;-0.16;14.6502
01.12.2013;4.619664632;0.895513355;0;17.2549
01.01.2014;4.618086411;0.783529875;-0.18;21.8188
01.02.2014;4.619171706;0.692460994;-0.04;16.7667
01.03.2014;4.615120517;0.511612692;0.25;17.6639
01.04.2014;4.625364893;0.642121199;0.31;17.0713
01.05.2014;4.618382517;0.541897964;0.17;15.7845
01.06.2014;4.616209033;0.461061256;0.37;15.269
01.07.2014;4.620748216;0.330479496;0.43;19.1221
01.08.2014;4.611251656;0.290275966;0.19;17.1888
01.09.2014;4.61927031;0.320096302;0.52;17.8514
01.10.2014;4.61927031;0.38064756;0.59;20.3172
01.11.2014;4.620354321;0.290625048;0.58;18.0253
01.12.2014;4.629472479;-0.160401037;0.54;26.1876
01.01.2015;4.627420795;-0.602169624;-0.22;24.731
01.02.2015;4.639958011;-0.280420815;-0.81;17.7528
01.03.2015;4.642465971;-0.050042537;-1.43;21.1004
01.04.2015;4.633757643;0.02;-1.38;24.2128
01.05.2015;4.636668853;0.309767922;-1.61;23.5386
01.06.2015;4.642273274;0.24968802;-1.85;32.3071
01.07.2015;4.64400621;0.22969002;-2.49;19.2878
01.08.2015;4.640151155;0.089914587;-2.52;31.0718
01.09.2015;4.640151155;-0.099920072;-2.8;32.0459
01.10.2015;4.646695933;0.119904091;-3.19;20.3569
01.11.2015;4.64381381;0.169974545;-3.64;23.6503
01.12.2015;4.637346918;0.240505177;-3.38;22.1745
